ROUGE-1	ROUGE-2	ROUGE-L
0.5067	0.4110	0.4267
0.1013	0.0000	0.1013
0.4194	0.2333	0.3548
0.4375	0.1935	0.4063
0.3692	0.1587	0.2462
0.1026	0.0000	0.0513
0.3188	0.1493	0.2899
0.0317	0.0000	0.0317
0.0000	0.0000	0.0000
0.1818	0.0000	0.1212
0.4923	0.1587	0.2769
0.4839	0.4000	0.4839
0.1205	0.0000	0.0964
0.1765	0.0606	0.1471
0.2192	0.0000	0.1370
0.2388	0.0923	0.2090
0.0563	0.0000	0.0282
0.1000	0.0345	0.1000
0.3750	0.2903	0.2813
0.4364	0.2264	0.3273
0.0690	0.0000	0.0690
0.2703	0.0556	0.1892
0.4054	0.1944	0.3514
0.4651	0.3095	0.2093
0.3902	0.1250	0.2683
0.1463	0.0000	0.0732
0.2692	0.0000	0.1923
0.2250	0.1026	0.2000
0.3562	0.1408	0.2740
0.1493	0.0000	0.0896
0.0000	0.0000	0.0000
0.2133	0.0822	0.1333
0.0968	0.0000	0.0968
0.3714	0.1471	0.3143
0.1579	0.0270	0.1053
0.1860	0.0000	0.1163
0.2338	0.0267	0.1299
0.0923	0.0000	0.0923
0.3944	0.2319	0.3380
0.3175	0.1639	0.2540
0.0923	0.0000	0.0615
0.2034	0.0351	0.1695
0.4045	0.1609	0.2921
0.1765	0.0000	0.0882
0.0323	0.0000	0.0323
0.0286	0.0000	0.0286
0.0597	0.0000	0.0597
0.3830	0.2667	0.3404
0.3103	0.1071	0.2414
0.0682	0.0000	0.0455
0.2500	0.0857	0.2222
0.4444	0.3429	0.4167
0.0968	0.0000	0.0968
0.0923	0.0000	0.0923
0.4194	0.1667	0.3226
0.2000	0.0345	0.1333
0.1471	0.0000	0.0588
0.0690	0.0000	0.0690
0.2785	0.1299	0.2025
0.1176	0.0000	0.0706
0.1351	0.0278	0.0811
0.0588	0.0000	0.0588
0.3284	0.0308	0.1194
0.1667	0.0000	0.1333
0.0556	0.0000	0.0556
0.2143	0.0370	0.1786
0.1754	0.0364	0.1053
0.1067	0.0000	0.0533
0.1446	0.0000	0.1205
0.1772	0.0779	0.1519
0.0923	0.0000	0.0923
0.1429	0.0244	0.0952
0.1600	0.0000	0.1333
0.1176	0.0606	0.1176
0.5484	0.3333	0.5484
0.1176	0.0000	0.0588
0.3784	0.1389	0.2162
0.1270	0.0000	0.0635
0.2353	0.0909	0.1765
0.3243	0.1389	0.1892
0.1967	0.0339	0.1311
0.5625	0.3226	0.3750
0.1143	0.0000	0.0571
0.4375	0.1613	0.3750
0.0811	0.0000	0.0811
0.1967	0.0339	0.1311
0.0845	0.0000	0.0563
0.2462	0.0317	0.1231
0.2121	0.0625	0.1818
0.1613	0.0333	0.1290
0.1127	0.0290	0.0563
0.5625	0.3871	0.4375
0.3846	0.1579	0.2308
0.3667	0.2069	0.3000
0.3768	0.1493	0.1449
0.2192	0.1408	0.1918
0.1333	0.0274	0.1067
0.5574	0.3729	0.3607
0.0260	0.0000	0.0260
0.1333	0.0000	0.1333
0.0294	0.0000	0.0294
0.2143	0.0741	0.1786
0.4789	0.3478	0.4225
0.2121	0.0000	0.1818
0.0417	0.0000	0.0417
0.2029	0.0597	0.1159
0.3662	0.2319	0.2535
0.1515	0.0000	0.0909
0.3117	0.2133	0.2338
0.0339	0.0000	0.0339
0.1449	0.0000	0.0870
0.3273	0.1132	0.2545
0.3030	0.1250	0.2121
0.2278	0.0779	0.1519
0.0270	0.0000	0.0270
0.0513	0.0000	0.0513
0.1356	0.0351	0.1017
0.1846	0.0000	0.1538
0.1515	0.0000	0.0909
0.1290	0.0333	0.0645
0.2133	0.1096	0.2133
0.2740	0.1127	0.1644
0.5455	0.3438	0.5152
0.2903	0.1000	0.1935
0.0645	0.0000	0.0645
0.3797	0.1039	0.1772
0.0308	0.0000	0.0308
0.4048	0.2683	0.3571
0.0690	0.0000	0.0690
0.2025	0.0519	0.1519
0.1846	0.0317	0.1538
0.2333	0.1034	0.1667
0.3750	0.1290	0.2500
0.3200	0.1096	0.1600
0.4333	0.2759	0.3667
0.2778	0.1714	0.2500
0.5902	0.3390	0.5246
0.4638	0.0896	0.2609
0.3099	0.1449	0.2817
0.1412	0.0482	0.0706
0.0526	0.0000	0.0263
0.4762	0.2951	0.3810
0.0857	0.0000	0.0571
0.1111	0.0385	0.0741
0.1449	0.0000	0.0870
0.2985	0.0923	0.1493
0.0678	0.0000	0.0678
0.2813	0.0968	0.2188
0.1818	0.0000	0.1039
0.2034	0.0702	0.1017
0.0597	0.0000	0.0597
0.3279	0.0339	0.1639
0.1414	0.0619	0.1212
0.3143	0.1471	0.1714
0.3385	0.0317	0.1538
0.0635	0.0000	0.0635
0.1923	0.0400	0.0769
0.3562	0.1408	0.2192
0.1000	0.0000	0.0667
0.0755	0.0000	0.0755
0.0392	0.0000	0.0392
0.1765	0.0606	0.1471
0.1395	0.0000	0.0698
0.1772	0.0000	0.1519
0.3636	0.1875	0.2727
0.1143	0.0294	0.0857
0.4478	0.3077	0.3582
0.3544	0.1818	0.3038
0.0370	0.0000	0.0370
0.1569	0.0816	0.1569
0.2703	0.1389	0.1622
0.0000	0.0000	0.0000
0.2712	0.1404	0.2373
0.1408	0.0580	0.1127
0.0769	0.0000	0.0513
0.3279	0.1356	0.1967
0.1220	0.0000	0.0732
0.4444	0.3279	0.3810
0.1644	0.0563	0.1370
0.3133	0.1235	0.2892
0.0727	0.0000	0.0727
0.1750	0.0513	0.1000
0.0656	0.0000	0.0656
0.2410	0.0494	0.1687
